id,correct,valid_ratio,valid_count,non_match_count,match_ratio,response_count,match_count,anagram_x,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10
153,quiet,1.0,6,2,0.6666666666666666,6,4,iuteq,quite,quiet,quiet,quite,quiet,quiet,,,,
154,hard,1.0,6,0,1.0,6,6,rdah,hard,hard,hard,hard,hard,hard,,,,
155,quite,1.0,6,6,0.0,6,0,uqiet,quiet,quiet,quiet,quiet,quiet,quiet,,,,
156,come,1.0,6,0,1.0,6,6,eocm,come,come,come,come,come,come,,,,
157,under,0.6666666666666666,4,2,0.6666666666666666,6,4,nderu,under,under,under,rnde,under,ruden,,,,
158,temple,0.8333333333333334,5,1,0.8333333333333334,6,5,meltep,temple,temple,temple,leptep,temple,temple,,,,
159,sure,1.0,6,3,0.5,6,3,srue,sure,ruse,sure,sure,user,ruse,,,,
160,guitar,0.6666666666666666,4,2,0.6666666666666666,6,4,uitrag,guitar,guitar,guitar,esksdh,guitar,idk,,,,
161,pencil,0.5,3,3,0.5,6,3,inlpec,pencil,pencil,pencil,pld,?,idk,,,,
162,plus,0.8333333333333334,5,1,0.8333333333333334,6,5,uspl,plus,plus,plus,plus,plus,lusp,,,,
163,those,0.6666666666666666,4,2,0.6666666666666666,6,4,hoest,those,those,those,those,th,idk,,,,
164,stay,1.0,6,0,1.0,6,6,atsy,stay,stay,stay,stay,stay,stay,,,,
165,branch,0.6666666666666666,4,2,0.6666666666666666,6,4,habcrn,branch,branch,branch,carndh,branch,idk,,,,
166,laptop,0.8333333333333334,5,1,0.8333333333333334,6,5,altpop,laptop,laptop,laptop,laptop,laptop,idk,,,,
167,read,1.0,6,2,0.6666666666666666,6,4,erad,read,read,read,dear,read,dare,,,,
168,right,1.0,6,0,1.0,6,6,hgtir,right,right,right,right,right,right,,,,
169,stand,0.6666666666666666,4,2,0.6666666666666666,6,4,sdnat,stand,stand,stand,nada,stand,idk,,,,
170,need,1.0,6,0,1.0,6,6,dnee,need,need,need,need,need,need,,,,
171,night,1.0,6,0,1.0,6,6,tnigh,night,night,night,night,night,night,,,,
172,hammer,0.8333333333333334,5,1,0.8333333333333334,6,5,hmerma,hammer,hammer,hammer,mereme,hammer,hammer,,,,
173,black,0.8333333333333334,5,1,0.8333333333333334,6,5,aklbc,black,black,black,lackd,black,black,,,,
174,water,0.8333333333333334,5,1,0.8333333333333334,6,5,aretw,water,water,water,taerw,water,water,,,,
175,state,0.8333333333333334,5,6,0.0,6,0,tsaet,taste,taste,taste,satte,taste,taste,,,,
176,work,1.0,6,0,1.0,6,6,okrw,work,work,work,work,work,work,,,,
177,next,1.0,6,0,1.0,6,6,enxt,next,next,next,next,next,next,,,,
178,world,0.8333333333333334,5,1,0.8333333333333334,6,5,wrdol,world,world,world,lord,world,world,,,,
179,angry,0.5,3,3,0.5,6,3,rngay,angry,garny,angry,grayn,angry,idk,,,,
180,reason,1.0,6,0,1.0,6,6,esonra,reason,reason,reason,reason,reason,reason,,,,
181,many,0.7777777777777778,7,2,0.7777777777777778,9,7,amyn,many,many,many,many,army,many,many,many,myan,
182,hear,1.0,9,2,0.7777777777777778,9,7,ehar,hare,hear,hear,hare,hear,hear,hear,hear,hear,
183,violet,1.0,9,0,1.0,9,9,leovit,violet,violet,violet,violet,violet,violet,violet,violet,violet,
184,their,0.5555555555555556,5,5,0.4444444444444444,9,4,htire,their,their,herit,thire,hire,their,retire,their,rithe,
185,beacon,0.6666666666666666,6,3,0.6666666666666666,9,6,cabneo,beacon,beacon,cabone,beacon,cabnet,beacon,beacon,beacon,cabeno,
186,quaint,0.8888888888888888,8,1,0.8888888888888888,9,8,unaitq,quaint,quaint,quaint,quaint,quanit,quaint,quaint,quaint,quaint,
187,life,1.0,9,3,0.6666666666666666,9,6,feil,life,life,file,life,Fiel,file,life,life,life,
188,able,1.0,9,4,0.5555555555555556,9,5,lbea,bale,able,able,bale,beal,bale,able,able,able,
189,peace,0.8888888888888888,8,1,0.8888888888888888,9,8,ceeap,peace,peace,peace,peace,peeca,peace,peace,peace,peace,
190,seven,0.8888888888888888,8,3,0.6666666666666666,9,6,ensev,seven,evens,seven,seven,Seven,seven,seveb,seven,seven,
191,kitten,0.6666666666666666,6,3,0.6666666666666666,9,6,tintek,kitten,kitten,inttek,kitten,think,kitten,kitten,kitten,kinett,
192,best,1.0,9,0,1.0,9,9,btse,best,best,best,best,best,best,best,best,best,
193,thank,0.8888888888888888,8,1,0.8888888888888888,9,8,nhakt,thank,thank,khant,thank,thank,thank,thank,thank,thank,
194,magnet,1.0,9,0,1.0,9,9,magtne,magnet,magnet,magnet,magnet,magnet,magnet,magnet,magnet,magnet,
195,earth,0.6666666666666666,6,8,0.1111111111111111,9,1,ehrat,reath,threat,threat,heart,heart,heart,earth,heart,heart,
196,cost,0.8888888888888888,8,2,0.7777777777777778,9,7,tsco,cost,cost,cost,scot,tsoc,cost,cost,cost,cost,
197,fresh,1.0,9,0,1.0,9,9,srhfe,fresh,fresh,fresh,fresh,fresh,fresh,fresh,fresh,fresh,
198,legend,0.6666666666666666,6,3,0.6666666666666666,9,6,eedgln,legend,legend,legend,legend,ledgin,legend,ledgend,legend,deleng,
199,sense,0.7777777777777778,7,2,0.7777777777777778,9,7,enses,sense,sense,sense,sense,cases,sense,senses,sense,sense,
200,birth,0.8888888888888888,8,1,0.8888888888888888,9,8,rthib,birth,birth,birth,birth,Rithb,birth,birth,birth,birth,
201,note,1.0,9,6,0.3333333333333333,9,3,eotn,tone,tone,tone,tone,tone,note,note,tone,note,
202,last,1.0,9,2,0.7777777777777778,9,7,lsat,last,last,salt,last,last,last,last,salt,last,
203,game,0.5555555555555556,5,4,0.5555555555555556,9,5,ameg,mega,game,mega,mega,mega,game,game,game,game,
204,today,0.8888888888888888,8,1,0.8888888888888888,9,8,datoy,today,today,today,today,dotya,today,today,today,today,
205,hope,0.8888888888888888,8,1,0.8888888888888888,9,8,oeph,hope,hope,hope,hope,poeh,hope,hope,hope,hope,
206,third,0.6666666666666666,6,3,0.6666666666666666,9,6,rtidh,third,drift,dirth,third,right,third,third,third,third,
207,junior,0.7777777777777778,7,2,0.7777777777777778,9,7,ujrion,junior,junior,junior,junior,jurior,junior,junior,junior,joinur,
208,think,1.0,9,1,0.8888888888888888,9,8,nithk,think,think,think,think,Think,think,think,think,think,
209,team,1.0,9,4,0.5555555555555556,9,5,emta,team,team,tema,team,team,mate,team,meta,tame,
210,candle,0.7777777777777778,7,2,0.7777777777777778,9,7,nadelc,candle,candel,candle,candle,Nadelc,candle,candle,candle,candle,
211,since,0.5555555555555556,5,4,0.5555555555555556,9,5,inecs,since,since,insec,since,neics,sinec,since,since,nices,
212,total,0.8888888888888888,8,1,0.8888888888888888,9,8,oattl,total,total,total,total,autto,total,total,total,total,
213,novice,0.6666666666666666,6,3,0.6666666666666666,9,6,cnevio,conive,novice,cevenio,novice,nevio,novice,novice,novice,novice,
214,trial,0.7777777777777778,7,6,0.3333333333333333,9,3,lrati,trial,trail,ratil,trail,train,trial,trial,trail,trail,
215,north,1.0,9,8,0.1111111111111111,9,1,htorn,thorn,thorn,thorn,thorn,thorn,thorn,thorn,north,thorn,
216,export,0.5555555555555556,5,4,0.5555555555555556,9,5,oxpetr,export,export,expert,export,Oxpeter,toxper,export,export,tropex,
217,tell,1.0,9,0,1.0,9,9,lelt,tell,tell,tell,tell,tell,tell,tell,tell,tell,
218,zombie,0.8888888888888888,8,1,0.8888888888888888,9,8,iebozm,zombie,zombie,zombie,zombie,emovia,zombie,zombie,zombie,zombie,
219,return,0.8888888888888888,8,1,0.8888888888888888,9,8,rerntu,return,return,return,return,return,nurter,return,return,return,
220,piece,0.8888888888888888,8,1,0.8888888888888888,9,8,ecipe,piece,piece,epice,piece,piece,piece,piece,piece,piece,
221,treat,1.0,9,2,0.7777777777777778,9,7,rteta,treat,treat,treat,treat,treat,tarte,tarte,treat,treat,
222,party,1.0,9,0,1.0,9,9,ypatr,party,party,party,party,party,party,party,party,party,
223,yellow,1.0,9,1,0.8888888888888888,9,8,llwyeo,yellow,yellow,yellow,yellow,Yellow,yellow,yellow,yellow,yellow,
224,heart,0.7777777777777778,7,5,0.4444444444444444,9,4,eahtr,reath,earth,earth,heart,eathr,heart,earth,heart,heart,
225,proud,0.7777777777777778,7,2,0.7777777777777778,9,7,odrpu,proud,proud,drop,proud,prudo,proud,proud,proud,proud,
226,sixth,0.5555555555555556,5,4,0.5555555555555556,9,5,shxti,sixth,sixth,shixt,sixth,shixi,sixth,sixth,shtix,shixt,
227,month,0.8888888888888888,8,1,0.8888888888888888,9,8,otmnh,month,month,month,month,other,month,month,month,month,
228,thing,0.8888888888888888,8,8,0.1111111111111111,9,1,ghnti,night,night,night,night,Ghnat,night,night,thing,night,
229,juggle,0.7777777777777778,7,2,0.7777777777777778,9,7,eljgug,juggle,juggle,gulge,juggle,judgle,juggle,juggle,juggle,juggle,
230,case,1.0,9,2,0.7777777777777778,9,7,sace,case,case,aces,case,case,case,case,aces,case,
231,orange,0.7777777777777778,7,2,0.7777777777777778,9,7,onreag,orange,orange,orange,orange,ranue,oregan,orange,orange,orange,
232,wrench,0.7777777777777778,7,2,0.7777777777777778,9,7,nwrche,wrench,wrench,rwench,wrench,Neche,wrench,wrench,wrench,wrench,
233,market,0.8888888888888888,8,1,0.8888888888888888,9,8,retmka,market,market,market,market,maker,market,market,market,market,
234,care,1.0,9,6,0.3333333333333333,9,3,reac,care,race,race,care,crea,acre,race,acre,care,
235,death,0.8888888888888888,8,2,0.7777777777777778,9,7,dheta,death,death,hated,death,data,death,death,death,death,
236,urgent,0.5555555555555556,5,4,0.5555555555555556,9,5,enurgt,tregun,urgent,urgent,urgent,nuget,gretun,urgent,urgent,grunte,
237,shall,0.7777777777777778,7,3,0.6666666666666666,9,6,alshl,shall,shall,shall,shall,Shell,slash,halls,shall,shall,
238,decade,0.7777777777777778,7,2,0.7777777777777778,9,7,ddceea,decade,decade,decead,decade,deed,decade,decade,decade,decade,
239,info,0.5555555555555556,5,5,0.4444444444444444,9,4,ifon,fion,info,fion,info,Info,fion,info,info,onfi,
240,home,0.7777777777777778,7,2,0.7777777777777778,9,7,mhoe,home,home,home,homr,more,home,home,home,home,
241,simple,0.6666666666666666,6,4,0.5555555555555556,9,5,lmsiep,impels,simple,simple,simple,Mistep,simple,impis,simple,plimes,
242,road,0.8888888888888888,8,1,0.8888888888888888,9,8,orad,road,road,road,road,doar,road,road,road,road,
243,league,0.6666666666666666,6,3,0.6666666666666666,9,6,eeagul,league,league,leauge,league,gulle,league,league,league,lauege,
244,frozen,0.8888888888888888,8,1,0.8888888888888888,9,8,roezfn,frozen,frozen,frozen,frozen,razor,frozen,frozen,frozen,frozen,
245,test,1.0,9,0,1.0,9,9,estt,test,test,test,test,test,test,test,test,test,
246,gossip,0.7777777777777778,7,2,0.7777777777777778,9,7,gspsoi,gossip,gossip,gossip,gossip,Posigs,gosip,gossip,gossip,gossip,
247,impact,0.5555555555555556,5,4,0.5555555555555556,9,5,apictm,mantic,impact,captim,impact,picture,maptic,impact,impact,impact,
248,short,0.5555555555555556,5,4,0.5555555555555556,9,5,othrs,short,short,sorth,short,others,roths,short,short,sroth,
249,amount,0.7777777777777778,7,2,0.7777777777777778,9,7,matoun,amount,amount,mountain,amount,Matron,amount,amount,amount,amount,
250,true,0.6666666666666666,6,3,0.6666666666666666,9,6,eurt,true,true,rute,rute,treu,true,true,true,true,
251,patent,0.8888888888888888,8,5,0.4444444444444444,9,4,patten,patent,patten,patten,patent,patten,patent,patent,pentat,patten,
252,narrow,0.8888888888888888,8,1,0.8888888888888888,9,8,arnrwo,narrow,narrow,narrow,narrow,anthro,narrow,narrow,narrow,narrow,
253,most,0.8888888888888888,8,2,0.7777777777777778,9,7,mtos,most,most,most,smot,Most,most,most,most,most,
254,honest,0.5,5,5,0.5,10,5,ontesh,shento,honest,honest,honest,session,nestho,honest,honest,noshet,
255,touch,0.7777777777777778,7,5,0.4444444444444444,9,4,utcoh,touch,couth,touch,couth,cloth,coutch,touch,couth,touch,
256,plan,0.7777777777777778,7,2,0.7777777777777778,9,7,npal,plan,plan,panl,plan,napal,plan,plan,plan,plan,
