root,shuffled
taken,etnka
talk,latk
target,retgta
team,atem
tell,llte
term,rmet
test,tets
texas,aetsx
thank,atkhn
thanks,thkasn
then,hetn
theory,throye
there,rtehe
thing,nhgit
things,nisthg
think,iktnh
third,rhdti
though,ghtuho
time,mtei
times,emtsi
title,etlit
total,ttalo
touch,outhc
town,nwot
track,rctak
trade,adrte
train,irant
travel,teralv
true,urte
trust,rtsut
truth,httru
trying,ygrtin
turn,trun
turned,eunrtd
type,ytpe
under,enrud
union,ounin
united,etduin
used,sude
value,eluav
very,revy
video,ovide
view,vwie
visit,tivsi
voice,cvioe
vote,oetv
wait,aitw
walk,kwal
want,twna
wanted,dntaew
watch,wathc
water,aewrt
ways,ywsa
week,ekwe
weight,tegwhi
well,wlel
west,sewt
while,hiwel
white,iweht
whole,howel
wife,iefw
will,iwll
window,wiowdn
winner,niewnr
wish,ihsw
woman,omanw
wonder,doenwr
word,dorw
words,wrsod
work,rwok
works,woskr
world,wdorl
worse,rowse
worst,srwto
worth,rwtho
write,ewtir
wrong,ongrw
year,reay
young,ygnou
