id,non_match_count,match_ratio,response_count,match_count,anagram_x,correct,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10
058,3,0.5,6,3,eatrf,after,after,featr,featr,eat,after,after,,,,
059,0,1.0,6,6,enht,then,then,then,then,then,then,then,,,,
060,2,0.6666666666666666,6,4,tnurea,nature,nature,nature,tundre,turn,nature,nature,,,,
061,2,0.6666666666666666,6,4,beoav,above,above,above,above,abe,abovd,above,,,,
062,2,0.6666666666666666,6,4,emdtho,method,method,method,emdtho,thod,method,method,,,,
063,0,1.0,6,6,oruy,your,your,your,your,your,your,your,,,,
064,5,0.16666666666666666,6,1,itsh,this,hits,this,shit,shit,shit,shit,,,,
065,0,1.0,6,6,iansld,island,island,island,island,island,island,island,,,,
066,1,0.8333333333333334,6,5,hemt,them,them,them,temp,them,them,them,,,,
067,2,0.6666666666666666,6,4,lmsal,small,small,small,samll,small,small,Islam,,,,
068,2,0.6666666666666666,6,4,sitrf,first,first,first,stiff,rifts,first,first,,,,
069,4,0.3333333333333333,6,2,gthir,right,girth,girth,thgir,right,right,girth,,,,
070,2,0.6666666666666666,6,4,ygeren,energy,energy,energy,green,regen,energy,energy,,,,
071,3,0.5,6,3,uhcm,much,much,chum,cuhm,chum,much,much,,,,
072,3,0.5,6,3,ofndu,found,found,fondu,Dufon,fond,found,found,,,,
073,4,0.3333333333333333,6,2,oblwe,below,elbow,bowel,olwbe,blow,below,below,,,,
074,3,0.5,6,3,rebeez,breeze,breeze,breeze,beezre,beer,beezer,breeze,,,,
075,1,0.8333333333333334,6,5,daaemg,damage,damage,damage,megaad,damage,damage,damage,,,,
076,2,0.6666666666666666,6,4,erlvat,travel,travel,travel,lervat,travel,travel,revalt,,,,
077,2,0.6666666666666666,6,4,uebtay,beauty,beauty,beauty,tubay,bet,beauty,beauty,,,,
078,1,0.8333333333333334,6,5,dlqiui,liquid,liquid,liquid,quidli,liquid,liquid,liquid,,,,
079,3,0.5,6,3,oredcr,record,record,record,order,cred,record,corder,,,,
080,3,0.5,6,3,keelrn,kernel,renkle,kernel,nrikee,kneel,kernel,kernel,,,,
081,2,0.6666666666666666,6,4,rwohgt,growth,growth,growth,wroght,how,growth,growth,,,,
082,0,1.0,6,6,tkea,take,take,take,take,take,take,take,,,,
083,1,0.8333333333333334,6,5,stmo,most,most,most,toms,most,most,most,,,,
084,0,1.0,6,6,txet,text,text,text,text,text,text,text,,,,
085,0,1.0,6,6,lkie,like,like,like,like,like,like,like,,,,
086,3,0.5,6,3,przhye,zephyr,zephyr,zephyr,pzhye,yep,phyzre,zephyr,,,,
087,1,0.8333333333333334,6,5,gtrae,great,great,great,great,great,great,grate,,,,
088,1,0.8333333333333334,6,5,tahn,than,than,than,than,than,than,thjan,,,,
089,3,0.5,6,3,eenrv,never,nerve,never,veen,nerve,never,never,,,,
090,2,0.6666666666666666,6,4,wdno,down,down,down,wond,won,down,down,,,,
091,0,1.0,6,6,ndif,find,find,find,find,find,find,find,,,,
092,4,0.3333333333333333,6,2,ripeem,empire,premie,empire,empire,mippe,prime,idk,,,,
093,2,0.6666666666666666,6,4,faodfr,afford,afford,afford,afford,frodo,fo,afford,,,,
094,0,1.0,6,6,rrmoir,mirror,mirror,mirror,mirror,mirror,mirror,mirror,,,,
095,2,0.6666666666666666,6,4,yyrale,yearly,yearly,yearly,yearly,rayyle,yearly,idk,,,,
096,1,0.8333333333333334,6,5,twire,write,write,wirte,write,write,write,write,,,,
097,1,0.8333333333333334,6,5,oyugn,young,young,young,young,yug,young,young,,,,
098,2,0.7142857142857143,7,5,htigl,light,light,light,light,light,light,gihlt,,,,
099,2,0.6666666666666666,6,4,wteall,wallet,wallet,wallet,wallet,tallew,wall,wallet,,,,
100,0,1.0,6,6,brorha,harbor,harbor,harbor,harbor,harbor,harbor,harbor,,,,
101,3,0.5,6,3,ecagrh,charge,greach,charge,charge,scarh,ch,charge,,,,
102,0,1.0,6,6,eevn,even,even,even,even,even,even,even,,,,
103,1,0.8333333333333334,6,5,ofcife,office,office,office,office,office,c,office,,,,
104,2,0.6666666666666666,6,4,higts,sight,sight,sight,sight,tights,sight,tighs,,,,
105,3,0.5,6,3,tfhrea,father,father,farther,father,three,father,feather,,,,
106,1,0.8333333333333334,6,5,ecfa,face,face,cafe,face,face,face,face,,,,
107,3,0.5,6,3,leiv,live,veil,live,live,live,evil,viel,,,,
108,1,0.8333333333333334,6,5,mihgt,might,might,might,might,night,might,might,,,,
109,1,0.8333333333333334,6,5,niel,line,line,line,line,line,line,lien,,,,
110,1,0.8333333333333334,6,5,lalc,call,call,call,call,call,call,calc,,,,
111,0,1.0,6,6,elvo,love,love,love,love,love,love,love,,,,
112,1,0.8333333333333334,6,5,ielhw,while,while,while,while,while,while,idk,,,,
113,0,1.0,6,6,phel,help,help,help,help,help,help,help,,,,
114,1,0.8333333333333334,6,5,odlwu,would,would,would,would,old,would,would,,,,
115,1,0.8333333333333334,6,5,atrts,start,start,start,start,tarts,start,start,,,,
116,6,0.0,6,0,genrad,garden,danger,danger,grande,red,danger,danger,,,,
117,0,1.0,6,6,ehwti,white,white,white,white,white,white,white,,,,
118,5,0.16666666666666666,6,1,eflt,left,left,felt,felt,felt,felt,felt,,,,
119,0,1.0,6,6,wihhc,which,which,which,which,which,which,which,,,,
120,2,0.6666666666666666,6,4,ruesp,super,super,purse,purse,super,super,super,,,,
121,0,1.0,6,6,vome,move,move,move,move,move,move,move,,,,
122,3,0.5,6,3,rnut,turn,turnj,turn,runt,turn,turn,runt,,,,
123,0,1.0,6,6,vnisoi,vision,vision,vision,vision,vision,vision,vision,,,,
124,0,1.0,6,6,emse,seem,seem,seem,seem,seem,seem,seem,,,,
125,2,0.6666666666666666,6,4,weset,sweet,sweet,sweet,sweet,sete,sweet,idk,,,,
126,0,1.0,6,6,awya,away,away,away,away,away,away,away,,,,
127,0,1.0,6,6,atkl,talk,talk,talk,talk,talk,talk,talk,,,,
128,0,1.0,6,6,ewrhe,where,where,where,where,where,where,where,,,,
129,0,1.0,6,6,jniruy,injury,injury,injury,injury,injury,injury,injury,,,,
130,0,1.0,6,6,kuicq,quick,quick,quick,quick,quick,quick,quick,,,,
131,3,0.5,6,3,priist,spirit,sirtip,spirit,spirit,trisp,spirit,tisipr,,,,
132,4,0.3333333333333333,6,2,agpe,page,gape,gape,page,page,gape,gape,,,,
133,1,0.8333333333333334,6,5,paly,play,play,play,play,palu,play,play,,,,
134,3,0.5,6,3,cekjta,jacket,jacke,jacket,jacket,jeck,.,jacket,,,,
135,1,0.8333333333333334,6,5,psto,stop,stop,post,stop,stop,stop,stop,,,,
136,5,0.16666666666666666,6,1,anlxie,xenial,lanxie,axel,xenial,lnd,?,idk,,,,
137,2,0.6666666666666666,6,4,eelf,feel,flee,feel,flee,feel,feel,feel,,,,
138,2,0.6666666666666666,6,4,lneeed,needle,indeed,needle,needle,needle,needle,lendee,,,,
139,2,0.6666666666666666,6,4,mrtpio,import,import,import,import,portion,import,tormip,,,,
140,3,0.5,6,3,dptuae,update,daptua,update,update,tuap,update,puated,,,,
141,1,0.8333333333333334,6,5,lissof,fossil,fossil,fossil,fossil,soil,fossil,fossil,,,,
142,2,0.6666666666666666,6,4,tpra,part,trap,part,part,part,trap,part,,,,
143,5,0.16666666666666666,6,1,dgrnae,danger,garden,grenade,danger,raemd,garden,grande,,,,
144,4,0.3333333333333333,6,2,gener,green,green,genre,genre,gener,reneg,green,,,,
145,3,0.5,6,3,aecrl,clear,larce,clear,clear,creal,clear,larce,,,,
146,3,0.5,6,3,klelri,killer,killer,killer,killer,rilkke,k,idk,,,,
147,0,1.0,6,6,yotsr,story,story,story,story,story,story,story,,,,
148,3,0.5,6,3,ekpe,keep,peek,peek,keep,keep,peek,keep,,,,
149,2,0.6666666666666666,6,4,evuqri,quiver,quiver,quiver,quiver,euvwui,quiver,viequr,,,,
150,0,1.0,6,6,yict,city,city,city,city,city,city,city,,,,
151,0,1.0,6,6,nowbr,brown,brown,brown,brown,brown,brown,brown,,,,
152,1,0.8333333333333334,6,5,ocdiaz,zodiac,zodiac,zodiac,zodiac,diaz,zodiac,zodiac,,,,
153,2,0.6666666666666666,6,4,iuteq,quiet,quite,quiet,quiet,quite,quiet,quiet,,,,
154,0,1.0,6,6,rdah,hard,hard,hard,hard,hard,hard,hard,,,,
155,6,0.0,6,0,uqiet,quite,quiet,quiet,quiet,quiet,quiet,quiet,,,,
156,0,1.0,6,6,eocm,come,come,come,come,come,come,come,,,,
157,2,0.6666666666666666,6,4,nderu,under,under,under,under,rnde,under,ruden,,,,
158,1,0.8333333333333334,6,5,meltep,temple,temple,temple,temple,leptep,temple,temple,,,,
159,3,0.5,6,3,srue,sure,sure,ruse,sure,sure,user,ruse,,,,
160,2,0.6666666666666666,6,4,uitrag,guitar,guitar,guitar,guitar,esksdh,guitar,idk,,,,
161,3,0.5,6,3,inlpec,pencil,pencil,pencil,pencil,pld,?,idk,,,,
162,1,0.8333333333333334,6,5,uspl,plus,plus,plus,plus,plus,plus,lusp,,,,
163,2,0.6666666666666666,6,4,hoest,those,those,those,those,those,th,idk,,,,
164,0,1.0,6,6,atsy,stay,stay,stay,stay,stay,stay,stay,,,,
165,2,0.6666666666666666,6,4,habcrn,branch,branch,branch,branch,carndh,branch,idk,,,,
166,1,0.8333333333333334,6,5,altpop,laptop,laptop,laptop,laptop,laptop,laptop,idk,,,,
167,2,0.6666666666666666,6,4,erad,read,read,read,read,dear,read,dare,,,,
168,0,1.0,6,6,hgtir,right,right,right,right,right,right,right,,,,
169,2,0.6666666666666666,6,4,sdnat,stand,stand,stand,stand,nada,stand,idk,,,,
170,0,1.0,6,6,dnee,need,need,need,need,need,need,need,,,,
171,0,1.0,6,6,tnigh,night,night,night,night,night,night,night,,,,
172,1,0.8333333333333334,6,5,hmerma,hammer,hammer,hammer,hammer,mereme,hammer,hammer,,,,
173,1,0.8333333333333334,6,5,aklbc,black,black,black,black,lackd,black,black,,,,
174,1,0.8333333333333334,6,5,aretw,water,water,water,water,taerw,water,water,,,,
175,6,0.0,6,0,tsaet,state,taste,taste,taste,satte,taste,taste,,,,
176,0,1.0,6,6,okrw,work,work,work,work,work,work,work,,,,
177,0,1.0,6,6,enxt,next,next,next,next,next,next,next,,,,
178,1,0.8333333333333334,6,5,wrdol,world,world,world,world,lord,world,world,,,,
179,3,0.5,6,3,rngay,angry,angry,garny,angry,grayn,angry,idk,,,,
180,0,1.0,6,6,esonra,reason,reason,reason,reason,reason,reason,reason,,,,
181,2,0.7777777777777778,9,7,amyn,many,many,many,many,many,army,many,many,many,myan,
182,2,0.7777777777777778,9,7,ehar,hear,hare,hear,hear,hare,hear,hear,hear,hear,hear,
183,0,1.0,9,9,leovit,violet,violet,violet,violet,violet,violet,violet,violet,violet,violet,
184,5,0.4444444444444444,9,4,htire,their,their,their,herit,thire,hire,their,retire,their,rithe,
185,3,0.6666666666666666,9,6,cabneo,beacon,beacon,beacon,cabone,beacon,cabnet,beacon,beacon,beacon,cabeno,
186,1,0.8888888888888888,9,8,unaitq,quaint,quaint,quaint,quaint,quaint,quanit,quaint,quaint,quaint,quaint,
187,3,0.6666666666666666,9,6,feil,life,life,life,file,life,Fiel,file,life,life,life,
188,4,0.5555555555555556,9,5,lbea,able,bale,able,able,bale,beal,bale,able,able,able,
189,1,0.8888888888888888,9,8,ceeap,peace,peace,peace,peace,peace,peeca,peace,peace,peace,peace,
190,3,0.6666666666666666,9,6,ensev,seven,seven,evens,seven,seven,Seven,seven,seveb,seven,seven,
191,3,0.6666666666666666,9,6,tintek,kitten,kitten,kitten,inttek,kitten,think,kitten,kitten,kitten,kinett,
192,0,1.0,9,9,btse,best,best,best,best,best,best,best,best,best,best,
193,1,0.8888888888888888,9,8,nhakt,thank,thank,thank,khant,thank,thank,thank,thank,thank,thank,
194,0,1.0,9,9,magtne,magnet,magnet,magnet,magnet,magnet,magnet,magnet,magnet,magnet,magnet,
195,8,0.1111111111111111,9,1,ehrat,earth,reath,threat,threat,heart,heart,heart,earth,heart,heart,
196,2,0.7777777777777778,9,7,tsco,cost,cost,cost,cost,scot,tsoc,cost,cost,cost,cost,
197,0,1.0,9,9,srhfe,fresh,fresh,fresh,fresh,fresh,fresh,fresh,fresh,fresh,fresh,
198,3,0.6666666666666666,9,6,eedgln,legend,legend,legend,legend,legend,ledgin,legend,ledgend,legend,deleng,
199,2,0.7777777777777778,9,7,enses,sense,sense,sense,sense,sense,cases,sense,senses,sense,sense,
200,1,0.8888888888888888,9,8,rthib,birth,birth,birth,birth,birth,Rithb,birth,birth,birth,birth,
201,6,0.3333333333333333,9,3,eotn,note,tone,tone,tone,tone,tone,note,note,tone,note,
202,2,0.7777777777777778,9,7,lsat,last,last,last,salt,last,last,last,last,salt,last,
203,4,0.5555555555555556,9,5,ameg,game,mega,game,mega,mega,mega,game,game,game,game,
204,1,0.8888888888888888,9,8,datoy,today,today,today,today,today,dotya,today,today,today,today,
205,1,0.8888888888888888,9,8,oeph,hope,hope,hope,hope,hope,poeh,hope,hope,hope,hope,
206,3,0.6666666666666666,9,6,rtidh,third,third,drift,dirth,third,right,third,third,third,third,
207,2,0.7777777777777778,9,7,ujrion,junior,junior,junior,junior,junior,jurior,junior,junior,junior,joinur,
208,1,0.8888888888888888,9,8,nithk,think,think,think,think,think,Think,think,think,think,think,
209,4,0.5555555555555556,9,5,emta,team,team,team,tema,team,team,mate,team,meta,tame,
210,2,0.7777777777777778,9,7,nadelc,candle,candle,candel,candle,candle,Nadelc,candle,candle,candle,candle,
211,4,0.5555555555555556,9,5,inecs,since,since,since,insec,since,neics,sinec,since,since,nices,
212,1,0.8888888888888888,9,8,oattl,total,total,total,total,total,autto,total,total,total,total,
213,3,0.6666666666666666,9,6,cnevio,novice,conive,novice,cevenio,novice,nevio,novice,novice,novice,novice,
214,6,0.3333333333333333,9,3,lrati,trial,trial,trail,ratil,trail,train,trial,trial,trail,trail,
215,8,0.1111111111111111,9,1,htorn,north,thorn,thorn,thorn,thorn,thorn,thorn,thorn,north,thorn,
216,4,0.5555555555555556,9,5,oxpetr,export,export,export,expert,export,Oxpeter,toxper,export,export,tropex,
217,0,1.0,9,9,lelt,tell,tell,tell,tell,tell,tell,tell,tell,tell,tell,
218,1,0.8888888888888888,9,8,iebozm,zombie,zombie,zombie,zombie,zombie,emovia,zombie,zombie,zombie,zombie,
219,1,0.8888888888888888,9,8,rerntu,return,return,return,return,return,return,nurter,return,return,return,
220,1,0.8888888888888888,9,8,ecipe,piece,piece,piece,epice,piece,piece,piece,piece,piece,piece,
221,2,0.7777777777777778,9,7,rteta,treat,treat,treat,treat,treat,treat,tarte,tarte,treat,treat,
222,0,1.0,9,9,ypatr,party,party,party,party,party,party,party,party,party,party,
223,1,0.8888888888888888,9,8,llwyeo,yellow,yellow,yellow,yellow,yellow,Yellow,yellow,yellow,yellow,yellow,
224,5,0.4444444444444444,9,4,eahtr,heart,reath,earth,earth,heart,eathr,heart,earth,heart,heart,
225,2,0.7777777777777778,9,7,odrpu,proud,proud,proud,drop,proud,prudo,proud,proud,proud,proud,
226,4,0.5555555555555556,9,5,shxti,sixth,sixth,sixth,shixt,sixth,shixi,sixth,sixth,shtix,shixt,
227,1,0.8888888888888888,9,8,otmnh,month,month,month,month,month,other,month,month,month,month,
228,8,0.1111111111111111,9,1,ghnti,thing,night,night,night,night,Ghnat,night,night,thing,night,
229,2,0.7777777777777778,9,7,eljgug,juggle,juggle,juggle,gulge,juggle,judgle,juggle,juggle,juggle,juggle,
230,2,0.7777777777777778,9,7,sace,case,case,case,aces,case,case,case,case,aces,case,
231,2,0.7777777777777778,9,7,onreag,orange,orange,orange,orange,orange,ranue,oregan,orange,orange,orange,
232,2,0.7777777777777778,9,7,nwrche,wrench,wrench,wrench,rwench,wrench,Neche,wrench,wrench,wrench,wrench,
233,1,0.8888888888888888,9,8,retmka,market,market,market,market,market,maker,market,market,market,market,
234,6,0.3333333333333333,9,3,reac,care,care,race,race,care,crea,acre,race,acre,care,
235,2,0.7777777777777778,9,7,dheta,death,death,death,hated,death,data,death,death,death,death,
236,4,0.5555555555555556,9,5,enurgt,urgent,tregun,urgent,urgent,urgent,nuget,gretun,urgent,urgent,grunte,
237,3,0.6666666666666666,9,6,alshl,shall,shall,shall,shall,shall,Shell,slash,halls,shall,shall,
238,2,0.7777777777777778,9,7,ddceea,decade,decade,decade,decead,decade,deed,decade,decade,decade,decade,
239,5,0.4444444444444444,9,4,ifon,info,fion,info,fion,info,Info,fion,info,info,onfi,
240,2,0.7777777777777778,9,7,mhoe,home,home,home,home,homr,more,home,home,home,home,
241,4,0.5555555555555556,9,5,lmsiep,simple,impels,simple,simple,simple,Mistep,simple,impis,simple,plimes,
242,1,0.8888888888888888,9,8,orad,road,road,road,road,road,doar,road,road,road,road,
243,3,0.6666666666666666,9,6,eeagul,league,league,league,leauge,league,gulle,league,league,league,lauege,
244,1,0.8888888888888888,9,8,roezfn,frozen,frozen,frozen,frozen,frozen,razor,frozen,frozen,frozen,frozen,
245,0,1.0,9,9,estt,test,test,test,test,test,test,test,test,test,test,
246,2,0.7777777777777778,9,7,gspsoi,gossip,gossip,gossip,gossip,gossip,Posigs,gosip,gossip,gossip,gossip,
247,4,0.5555555555555556,9,5,apictm,impact,mantic,impact,captim,impact,picture,maptic,impact,impact,impact,
248,4,0.5555555555555556,9,5,othrs,short,short,short,sorth,short,others,roths,short,short,sroth,
249,2,0.7777777777777778,9,7,matoun,amount,amount,amount,mountain,amount,Matron,amount,amount,amount,amount,
250,3,0.6666666666666666,9,6,eurt,true,true,true,rute,rute,treu,true,true,true,true,
251,5,0.4444444444444444,9,4,patten,patent,patent,patten,patten,patent,patten,patent,patent,pentat,patten,
252,1,0.8888888888888888,9,8,arnrwo,narrow,narrow,narrow,narrow,narrow,anthro,narrow,narrow,narrow,narrow,
253,2,0.7777777777777778,9,7,mtos,most,most,most,most,smot,Most,most,most,most,most,
254,5,0.5,10,5,ontesh,honest,shento,honest,honest,honest,session,nestho,honest,honest,noshet,
255,5,0.4444444444444444,9,4,utcoh,touch,touch,couth,touch,couth,cloth,coutch,touch,couth,touch,
256,2,0.7777777777777778,9,7,npal,plan,plan,plan,panl,plan,napal,plan,plan,plan,plan,
257,1,0.8888888888888888,9,8,opcy,copy,copy,copy,copy,copy,copy,copy,copy,copy,cpy,
258,9,0.0,9,0,erhte,three,there,there,erthe,there,there,there,there,there,there,
259,2,0.7777777777777778,9,7,ydikne,kidney,kidney,dinkey,kidney,kidney,klydike,kidney,kidney,kidney,kidney,
260,2,0.7777777777777778,9,7,iwve,view,wive,wive,view,view,view,view,view,view,view,
261,0,1.0,9,9,owsh,show,show,show,show,show,show,show,show,show,show,
262,0,1.0,9,9,ieda,idea,idea,idea,idea,idea,idea,idea,idea,idea,idea,
263,1,0.8888888888888888,9,8,ekew,week,week,week,week,week,Skew,week,week,week,week,
264,0,1.0,9,9,yodb,body,body,body,body,body,body,body,body,body,body,
265,4,0.5555555555555556,9,5,stei,site,site,site,ties,site,teis,ties,site,site,ties,
266,1,0.8888888888888888,9,8,dahn,hand,hand,hand,hand,hand,dawn,hand,hand,hand,hand,
267,0,1.0,9,9,itaw,wait,wait,wait,wait,wait,wait,wait,wait,wait,wait,
268,4,0.5555555555555556,9,5,stiesu,tissue,suites,suite,tissue,tissue,tiessu,tissue,tissue,tissue,suites,
269,1,0.8888888888888888,9,8,nilfa,final,final,final,final,final,Filan,final,final,final,final,
270,2,0.7777777777777778,9,7,arint,train,train,train,raint,train,trint,train,train,train,train,
271,1,0.8571428571428571,7,6,yttnko,knotty,knotty,knotty,knotty,knotty,knotty,knotty,kontty,,,
272,3,0.625,8,5,lndsai,island,island,danils,island,,island,island,island,indias,,
273,1,0.8571428571428571,7,6,twhac,watch,watch,watch,whact,watch,watch,watch,watch,,,
274,2,0.7142857142857143,7,5,tsli,list,list,silt,slit,list,list,list,list,,,
275,3,0.625,8,5,hself,shelf,shelf,flesh,shelf,,shelf,flesh,shelf,shelf,,
276,1,0.8571428571428571,7,6,yngou,young,gouny,young,young,young,young,young,young,,,
277,0,1.0,7,7,msis,miss,miss,miss,miss,miss,miss,miss,miss,,,
278,1,0.875,8,7,ellyav,valley,valley,valley,valley,,valley,valley,valley,valley,,
279,4,0.5,8,4,wtroh,worth,throw,throw,worth,,worth,worth,worth,throw,,
280,3,0.5714285714285714,7,4,dpaeut,update,update,tauped,update,tauped,update,update,peanut,,,
281,3,0.5714285714285714,7,4,enowrd,wonder,wonder,redown,renowed,wonder,wonder,downer,wonder,,,
282,7,0.0,7,0,esur,user,sure,sure,sure,sure,sure,sure,sure,,,
283,0,1.0,7,7,shif,fish,fish,fish,fish,fish,fish,fish,fish,,,
284,0,1.0,7,7,rcad,card,card,card,card,card,card,card,card,,,
285,1,0.8571428571428571,7,6,wnmeo,women,women,women,women,women,women,women,neumo,,,
286,1,0.8571428571428571,7,6,piarll,pillar,pillar,pillar,pillar,pillar,pillar,pillar,arllip,,,
287,5,0.2857142857142857,7,2,edal,lead,deal,lead,lead,deal,deal,deal,lade,,,
288,2,0.7142857142857143,7,5,aedgma,damage,gamed,agedma,damage,damage,damage,damage,damage,,,
289,2,0.7142857142857143,7,5,rfom,form,form,form,from,form,from,form,form,,,
290,4,0.5,8,4,qruuom,quorum,quroum,uruqom,quorum,,quorum,quorum,quorum,quuorm,,
291,3,0.5714285714285714,7,4,rcanhb,branch,charbn,chranb,branch,branch,branch,branch,carnbh,,,
292,1,0.8571428571428571,7,6,oevci,voice,covie,voice,voice,voice,voice,voice,voice,,,
293,0,1.0,7,7,olkcc,clock,clock,clock,clock,clock,clock,clock,clock,,,
294,3,0.625,8,5,elas,sale,sale,,seal,sale,sale,seal,sale,sale,,
295,2,0.7142857142857143,7,5,lenion,online,online,linen,online,online,online,online,leonin,,,
296,0,1.0,7,7,aybb,baby,baby,baby,baby,baby,baby,baby,baby,,,
297,0,1.0,7,7,ssma,mass,mass,mass,mass,mass,mass,mass,mass,,,
298,2,0.7142857142857143,7,5,nrlaom,normal,normal,marlon,normal,normal,normal,normal,narlom,,,
299,4,0.42857142857142855,7,3,waets,waste,sweat,sweat,sweat,waste,waste,waste,sweat,,,
300,6,0.14285714285714285,7,1,gowrn,wrong,grown,grown,grown,wrong,grown,grown,grown,,,
301,3,0.5714285714285714,7,4,otinpo,option,option,option,option,potion,option,potion,pointo,,,
302,2,0.7142857142857143,7,5,oveid,video,voide,doive,video,video,video,video,video,,,
303,0,1.0,7,7,labl,ball,ball,ball,ball,ball,ball,ball,ball,,,
304,5,0.2857142857142857,7,2,huotys,youths,shouty,shouty,youths,shouty,youths,shouty,shouty,,,
305,6,0.14285714285714285,7,1,pisl,slip,lisp,lips,lips,lisp,lips,slip,lisp,,,
306,2,0.7142857142857143,7,5,lbcu,club,bulc,bulc,club,club,club,club,club,,,
